Club,mean,count(1)
F.C. Tokyo,55.603773584905674,30
Tours FC,55.60307477288608,30
Bolton Wanderers,55.575821104122994,30
CD Los Millionarios Bogota,55.54188679245282,28
Randers FC,55.52058319039452,25
Portsmouth,55.47169811320755,27
FK Austria Wien,55.455291222313356,26
Aalesunds FK,55.455049944506115,22
Sevilla Atlético,55.4412191582003,29
Al Shabab,55.437456324248764,30
La Equidad,55.40394511149228,28
US Orléans Loiret Football,55.39704675963907,26
IFK Göteborg,55.35495283018868,21
Cracovia,55.32940251572328,27
Newell's Old Boys,55.313679245283026,28
Bahía Blanca,55.30490566037735,28
Frosinone,55.287511230907455,24
Zagłębie Lubin,55.27437106918239,27
Gangwon FC,55.27213352685052,28
SK Sturm Graz,55.26907301066447,26
Ascoli,55.219339622641506,27
Incheon United FC,55.202264150943385,28
IFK Norrköping,55.184391080617495,24
Deportes Tolima,55.15169811320754,28
Novara,55.123872026251036,26
Lyngby BK,55.07704402515724,27
Atlético Bucaramanga,55.05817610062892,27
FC SKA-Energiya Khabarovsk,55.03852201257862,30
Western Sydney Wanderers,55.02658662092624,25
Clermont Foot 63,55.00808625336927,24
Millwall,55.00653120464441,30
Piast Gliwice,55.000000000000014,27
SG Sonnenhof Großaspach,54.99179655455292,25
BSC Young Boys,54.98885077186965,25
Hibernian,54.98203054806829,23
Rotherham United,54.94654088050316,28
Central Coast Mariners,54.9374379344588,22
Paris FC,54.90455049944506,25
1. FC Magdeburg,54.881401617250674,25
Notts County,54.87849056603775,28
Odense Boldklub,54.85624438454628,24
Arka Gdynia,54.83097484276729,27
Southend United,54.82608695652173,28
FC Lausanne-Sports,54.81221922731358,24
Talleres de Cordoba,54.78792452830189,28
SV Wehen Wiesbaden,54.78380503144654,27
Termalica Bruk-Bet Nieciecza,54.78066037735849,27
Holstein Kiel,54.772133526850524,30
La Spezia,54.77122641509433,27
Belgrano de Córdoba,54.74685534591196,28
Vissel Kobe,54.732220609579095,30
Grasshopper Club Zürich,54.67688679245283,27
Wisła Płock,54.66694011484824,25
Chamois Niortais FC,54.64072327044024,27
Jaguares Fútbol Club,54.62950257289881,26
Ross County FC,54.625922887612795,25
Aalborg BK,54.61792452830188,27
Plymouth Argyle,54.61538461538461,27
FK Haugesund,54.60736747529201,24
Yokohama F. Marinos,54.5926243567753,26
Royal Excel Mouscron,54.58818703855619,28
SC Fortuna Köln,54.587735849056614,25
VfR Aalen,54.57023060796646,21
FSV Zwickau,54.53908355795147,25
Adelaide United,54.53274139844616,20
GFC Ajaccio,54.44462674323217,25
 SSV Jahn Regensburg,54.43867924528302,28
Sanfrecce Hiroshima,54.42264150943396,28
Sandefjord Fotball,54.420836751435615,26
La Berrichonne de Châteauroux,54.383164005805526,30
Heart of Midlothian,54.37500000000001,28
Tromsø IL,54.369155045118944,27
Würzburger FV,54.36298292902067,23
Aarhus GF,54.36118598382749,27
Barnsley,54.3577648766328,30
Northampton Town,54.343396226415095,27
Cerezo Osaka,54.330188679245275,30
Carpi,54.32914046121596,30
Korona Kielce,54.267744833782565,26
FC Sochaux-Montbéliard,54.25471698113207,30
Karlsruher SC,54.232704402515736,27
St. Johnstone FC,54.22641509433962,27
Deportivo Pasto,54.21735849056604,28
Wellington Phoenix,54.20668953687821,24
FC Lugano,54.16226415094341,27
Empoli,54.15924528301887,29
Mansfield Town,54.15384615384615,28
FC St. Gallen,54.15330188679246,27
Charlton Athletic,54.122264150943394,28
SønderjyskE,54.098532494758906,27
Lillestrøm SK,54.03674280039723,21
Shrewsbury,54.03609515996719,28
Al Qadisiyah,54.01629502572898,28
Doncaster Rovers,54.00075471698112,28
Milton Keynes Dons,53.99709724238026,28
AFC Wimbledon,53.99606918238993,27
San Martín de San Juan,53.9937106918239,28
IK Sirius,53.98899371069184,26
Patriotas Boyacá FC,53.98456260720411,25
Al Faisaly,53.9538784067086,30
Partick Thistle F.C.,53.920754716981136,28
1. FC Kaiserslautern,53.85962264150943,29
FC Luzern,53.811320754716974,27
Perugia,53.79100145137882,29
Wycombe Wanderers,53.78917145200984,25
Jönköpings Södra IF,53.78346810422282,25
Carlisle United,53.74213836477987,25
Valenciennes FC,53.73515024458421,30
Argentinos Juniors,53.68905660377358,28
Hansa Rostock,53.67819706498952,26
Hallescher FC,53.628144654088054,27
Walsall,53.59579100145139,28
SV Mattersburg,53.556603773584904,27
HJK Helsinki,53.52830188679246,27
Sportfreunde Lotte,53.5033962264151,28
Alianza Petrolera,53.50157232704402,27
Dundalk,53.46886792452831,23
Ventforet Kofu,53.45352900069883,30
Scunthorpe United,53.439108061749565,27
SC Preußen Münster,53.43490566037737,23
Luton Town,53.421886792452845,28
Foggia,53.3667924528302,28
Corporación Club Deportivo Tuluá,53.35018867924528,28
Virtus Entella,53.33056603773584,28
Al Raed,53.31349782293176,30
Chesterfield,53.30261248185778,28
VfL Osnabrück,53.272095332671306,27
Kristiansund BK,53.23977987421384,27
AC Horsens,53.18598382749327,24
Rochdale,53.15924528301886,28
Stabæk Fotball,53.15773584905661,27
FC Nordsjælland,53.12469237079573,27
Ternana,53.11465892597968,29
St. Patrick's Athletic,53.10720411663806,25
Port Vale,53.09748427672957,28
Daegu FC,53.09433962264152,28
Rot-Weiß Erfurt,53.07136997538967,26
Chacarita Juniors,53.06264150943396,28
Le Havre AC,53.047169811320764,27
Hobro IK,53.02744425385935,24
Al Taawoun,53.01886792452829,30
Bristol Rovers,53.012578616352194,28
Brescia,53.00349406009782,30
Atlético Huila,52.96981132075472,28
Gamba Osaka,52.9601677148847,30
Silkeborg IF,52.894175553732566,26
Chemnitzer FC,52.8885077186964,24
GwangJu FC,52.85377358490566,28
Örebro SK,52.72830188679245,23
Peterborough United,52.687735849056594,28
Coventry City,52.667169811320754,28
Temperley,52.60679245283018,28
Gillingham,52.59669811320754,27
Vercelli,52.57660377358489,28
Omiya Ardija,52.56168359941944,30
Bradford City,52.55297532656024,28
Vegalta Sendai,52.544811320754725,28
Sandecja Nowy Sącz,52.49384741591469,27
FC Zürich,52.418113207547165,27
Crawley Town,52.398921832884106,24
US Quevilly-Rouen,52.37735849056604,29
Werder Bremen II,52.36298292902067,25
LASK Linz,52.343396226415095,23
Kilmarnock,52.341886792452826,28
Newport County,52.250428816466545,26
Al Fateh,52.22423802612481,30
Hokkaido Consadole Sapporo,52.08245981830888,30
AFC Eskilstuna,52.07219031993438,27
Exeter City,52.061132075471704,28
SC Paderborn 07,52.021226415094354,28
Grimsby Town,52.007982583454286,28
FC Admira Wacker Mödling,52.00449236298292,24
GIF Sundsvall,51.98349056603774,27
Sogndal,51.916666666666664,27
Wolfsberger AC,51.911949685534594,25
Júbilo Iwata,51.88098693759072,30
Cambridge United,51.831087151841864,25
Newcastle Jets,51.81389365351629,24
Blackpool,51.71698113207548,28
Fleetwood Town,51.66264150943396,28
Dundee FC,51.65820029027576,28
Lincoln City,51.48018867924527,23
Colchester United,51.46037735849057,28
FC Carl Zeiss Jena,51.42411812961444,27
Motherwell,51.31349782293178,28
Yeovil Town,51.199602780536246,21
Hamilton Academical FC,51.17295597484277,27
Swindon Town,51.15780445969126,25
Barnet,51.11175616835994,28
FC Thun,51.05480682839171,24
Cittadella,50.986211901306234,29
SKN St. Pölten,50.80817610062892,27
Albirex Niigata,50.652394775036285,30
Ettifaq FC,50.642183288409704,30
Forest Green,50.55884995507637,25
Envigado FC,50.504905660377354,28
Al Batin,50.49492017416547,29
Cheltenham Town,50.45529122231336,28
Halmstads BK,50.34067085953878,21
Shamrock Rovers,50.27071369975389,25
Derry City,50.27010923535253,23
Tigres FC,50.227235438884335,27
SpVgg Unterhaching,50.19396226415094,28
Górnik Zabrze,50.097035040431265,25
Cork City,50.00988319856244,23
Morecambe,49.74037735849057,28
Bray Wanderers,49.61425576519916,21
SV Meppen,49.504716981132084,26
Stevenage,49.50188679245284,28
FC Helsingør,49.373427672955984,27
Drogheda United,49.27891714520098,25
Limerick FC,48.772591857001,22
Bohemian FC,48.60377358490565,25
Accrington Stanley,48.59862778730702,24
Ohod Club,48.51161103047895,30
Galway United,48.02915951972556,25
Sligo Rovers,48.02383316782522,25
Finn Harps,47.78301886792453,25
Crewe Alexandra,47.469002695417785,26
